source,target,weight
use on basis,write note,2
use electricity,use laptop,2
put phone,use electricity,2
put phone,use laptop,4
use tip,use type,3
use paper,use planner,4
put side,use product,2
use notebook,use planner,3
wear makeup,wear outfit,4
drive to school,wear dress,2
wear dress,wear heel,2
spread message,use platform,2
add water,read instruction,2
add water,brush tooth,22
put energy,put food,2
put energy,work way,2
open window,work way,6
use code,work way,2
clean house,wear jean,2
clean house,work from home,8
use filter,use for while,2
add drop,add text,2
put side,wear top,3
put shoe,wear jean,4
wear dress,wear top,5
wear dress,wear hoodie,3
wear hoodie,wear short,4
wear dress,wear short,2
put shoe,wear hoodie,2
add water,use rice,22
brush hair,use shampoo,6
put hair,use shampoo,21
drive traffic to people,wear jean,2
use notebook,write note,10
use notebook,use paper,2
use paper,write note,3
chop cucumber,use toner,2
use laptop,write note,3
clean area,clean house,28
brush hair,use conditioner,9
brush hair,use brush,15
use toner,wash face,7
put hand,wash face,2
wear hat,wear to school,2
wear pant,wear short,2
use filter,wear makeup,2
put tan,wear makeup,2
remove skin,use toner,2
remove skin,wash face,2
use moisturizer,use toner,5
use moisturizer,wash face,10
add oil,wash face,16
add oil,put music,4
use legume,wear makeup,2
add oil,wear makeup,6
use mask,wear makeup,2
add oil,use chemical,3
add oil,use legume,2
add oil,use mask,10
curl eyelash,wear makeup,4
use mascara,wear makeup,6
brush tooth,use scrub,3
use scrub,wear makeup,2
brush tooth,wear makeup,7
pull dress on weekend,put shoe,2
add spinach,use milk,4
mix blood,use milk,3
add spinach,use razor,2
cut in half,use type,6
add topping,cut in half,2
brush hair,dye hair,3
put hair,use tool,2
put hair,wash hair,23
add oil,use shampoo,5
brush brow,brush hair,7
brush hair,use detangler,2
dye hair,put hair,4
put hair,use conditioner,4
place order,use straw,2
put side,use finger,2
use finger,use mascara,4
curl eyelash,put side,4
put side,use mascara,2
meet people,wear makeup,3
curl piece,put hair,5
add fat,eat amount,2
eat amount,eat carb,5
use calendar,write note,3
set goal,use color,2
use notebook,write list,2
use planner,write list,2
use baby,write list,2
add water,wear top,2
use foundation,use primer,2
add oil,roll dough,3
add oil,use at night,4
roll dough,wear makeup,2
use at night,wear makeup,7
use at night,use product,2
use product,wear makeup,9
use concealer,use product,5
put bit,use bronzer,2
put side,use bronzer,2
use brush,use color,32
shave leg,use dr,2
add oil,use airfryer,2
add potato,use airfryer,3
add date,use recipe,2
add date,add oil,3
eat dinner,put food,2
eat dinner,eat lunch,3
add green,eat food,2
add sriracha,cook for minute,2
add sauce,add sriracha,2
add fat,eat carb,9
put shoe,wear to school,2
put phone,put stuff,3
put stuff,use tip,2
put phone,use tip,2
put on cheekbone,use finger,3
add oil,paint coat,11
add oil,put hand,3
use shampoo,wash face,2
drink tea,wash face,2
put music,write song,4
use color,use filter,5
wear in winter,wear top,2
put hair,use concealer,2
use concealer,use scrunchie,2
brush brow,use color,6
add liquid,use color,2
wash face,wash hair,8
use glove,wash hair,7
use hand,wash face,2
use glove,use hand,2
wash hair,wear makeup,3
add oil,clean mirror,4
add oil,brush brow,2
put contact,use glass,6
use glass,wear to school,2
wear outfit,wear top,6
use conditioner,wash hair,2
use conditioner,use shampoo,5
use shampoo,wash body,2
add oil,wash body,5
add oil,use scrub,3
use hand,wash body,2
add volume,use filter,4
add volume,use color,2
put hair,use primer,2
brush brow,use brush,7
add water,put on speakerphone,2
add oil,use hand,6
kill bird with stone,use app,2
put clothe,wear top,8
cut through loop,wear top,2
wear top,wear turtleneck,4
use cardstock,wear top,2
wear jean,wear turtleneck,2
use cardstock,wear jean,2
put headband,wear jean,2
put headband,wear top,2
put bit,put hair,3
use concealer,wear makeup,9
cut in half,rub finger,2
open drawer,use product,3
open drawer,use bike lock,2
use bike lock,use plier,2
put dot,use glue,8
put on cheekbone,use brush,6
put side,use brush,5
put side,use light,2
brush brow,use mascara,2
clean floor,use towel,3
put dot,put hashtag,2
add water,fill space,6
add stevia,add water,2
add water,set timer,4
add water,use mug,4
set goal,write list,3
put phone,put side,2
brush hair,eat lunch,2
eat carb,use bread,2
use bread,use fruit,3
eat carb,use fruit,3
add sugar,use fruit,5
add sugar,eat carb,5
eat food,put over body,2
add oil,use guy,7
add oil,use foundation,2
use cleaner,wash face,10
use foundation,wash face,2
use finger,use mask,2
add water,drink on way,4
curl eyelash,use method,4
add volume,curl eyelash,3
use mascara,use method,2
add volume,use mascara,2
use color,use type,4
put lid,use brush,8
put lid,use foundation,2
use brush,use foundation,4
read book,read review,5
read book,write star,5
write list,write star,2
read book,write list,5
use color,use shade,6
use bronzer,use color,5
curl eyelash,open pore,4
open pore,use palette,2
put side,use palette,3
use brush,use palette,6
fill eyebrow,use brush,3
curl eyelash,use palette,4
use color,use palette,9
use brown,use brush,2
use brown,use color,8
use color,use foundation,2
put bit,use mascara,4
put bit,put on blemish,2
put bit,use brush,6
put on blemish,use brush,4
use brown,use palette,2
put bit,use palette,2
put bit,use color,3
put hair,use iron,10
curl piece,use iron,2
brush brow,put hair,4
put shoe,wear to event,3
clean mirror,put clothe,6
use light,use type,2
put clothe,use color,4
put phone,write message,2
blow mind,write message,2
add egg,add ingredient,11
paint gold,use paper,2
put side,use sticker,2
cut hole,put cover,3
drink coffee,use butter,5
use butter,use knife,2
put cover,use clay,2
use milk,use mug,2
drink coffee,use paper,4
add drop,put popsicle stick,3
add drop,cut in half,2
cook for minute,stick orange into muffin tin,3
add veggie,stick orange into muffin tin,2
add veggie,cook for minute,3
add onto baking dish,add potato,4
add cheese,add potato,2
paint coat,use tape,4
rinse with water,use color,2
dye hair,rinse with water,2
use bleach,use type,2
put item,use type,6
use tape,use towel,2
use towel,wash dish,4
use color,use glue,4
add water,use paint,4
use sponge,use tape,2
blow balloon,use sponge,3
blow balloon,use felt,3
blow balloon,set timer,3
blow balloon,cut bottom,3
add glitter,paint gold,2
put in middle,use spoon,2
cut rectangle,put in middle,2
cut rectangle,put sheet,2
add carrot,add veggie,5
add protein,add sugar,3
cut hole,put lid,3
cut hole,put card,3
open pore,put card,2
cut triangle,open pore,2
draw line,use glue,3
cut in half,cut rectangle,2
cut in half,use tape,3
open pore,use tape,4
open pore,put cover,2
open pore,pull string,2
cut rectangle,use tape,4
cut rectangle,pull string,2
put cover,use tape,4
pull string,use tape,7
use sharpie,use tape,3
pull string,put cover,2
pull string,use sharpie,3
add touch,use milk,2
add bean,add oil,6
add bit,add potato,3
add ice,add water,29
clean kitchen,wash dish,12
add sugar,use butter,14
add egg,wash hair,3
add sugar,scrape side,2
add egg,add sugar,6
add egg,scrape side,3
add ice,roll dough,2
roll dough,use hand,3
use butter,use finger,5
open pore,open window,3
open window,use knife,2
use knife,use paint,4
add water,poke hole,2
add gelatin,add water,4
add sugar,cut in half,3
add drop,use spoon,2
add oil,melt wax,5
add drop,add glitter,2
use milk,use spoon,2
burn hand,use fruit,2
use butter,use fruit,4
add salt,use fruit,2
add salt,use spoon,3
add date,add egg,3
add date,use butter,3
add egg,use spatula,5
put dish,wash dish,97
put basket,wash dish,5
clean sink,wash dish,21
use ton,use towel,2
clean sink,use towel,11
add oil,clean mess,3
add cheese,burn hand,2
put side,use paper,3
add to pan,use butter,2
add to pan,cook on side,3
add sugar,use hack,2
add sugar,use cream,2
add sauce,eat lunch,2
clean dish,eat food,5
use paint,use paper,7
add cinnamon,add sugar,7
add egg,use milk,5
add bit,add to pan,5
add to pan,use pin,2
put side,use pin,2
add to pan,put side,2
pack snack,paint coat,2
paint coat,use pencil,2
pack snack,use sticker,2
pack snack,use pin,2
pack snack,use marker,2
pack snack,use pencil,2
add vinegar,use milk,2
add vinegar,set for hour,2
add veggie,cook on stove,3
cut strand,pull string,2
use paper,use skewer,3
use wire,wear top,3
add cinnamon,add protein,5
add protein,use chickpea,2
drain water,rinse with water,3
add chicken,use chickpea,2
add chicken,add salt,7
add chicken,add protein,2
add water,roll dough,2
add bean,use rice,6
add oil,use fruit,2
put bit,wash hair,2
use towel,wash hair,3
put for second,wash hair,2
put for second,use towel,2
add cheese,put for second,2
add sugar,use whisk,2
use color,write note,7
light candle,open window,3
light candle,use paper,2
open window,use paper,5
cut hole,open window,3
use paper,use pencil,2
use cardstock,use color,2
use cream,use fruit,2
add sugar,add texture,2
cut in half,put for second,2
read instruction,teach kid,2
add chicken,add to soup,2
add egg,steal of kid,2
add chicken,add egg,7
add chicken,eat dinner,5
add egg,eat dinner,4
add water,lift weight,3
add liquid,add water,9
add liquid,build credit,2
add sweetener,use cacao,2
add garlic,boil pasta,2
put bit,wear makeup,3
add oil,use paper,4
add egg,put disclaimer,2
add egg,cut in half,5
put hair,roll dough,2
sweep floor,vacuum floor,8
add scoop,put pine cone,4
draw line,put dot,3
draw picture,put dot,2
use milk,wash hair,4
add egg,use whisk,5
add sugar,use guy,2
add oil,use peppermint,3
add beeswax,add oil,5
add oil,eat meat,2
add oil,drink tea,18
add ginger,stick orange into muffin tin,2
add ginger,use glue,2
cut hole,use glue,3
use felt,use glue,2
cook pasta,use spoon,3
put hand,use spoon,2
add chicken,put hand,2
put hand,use knife,2
use fruit,use milk,5
add sugar,use milk,11
cook on stove,read book,2
add embellishment,use paper,2
add embellishment,wear skirt,2
use paint,wear skirt,2
add velcro,wear skirt,2
add ice,pull string,2
add ice,use sharpie,2
add ice,add touch,4
cut bottom,use twine,2
meet strap,use twine,2
add drop,cut hole,2
cut hole,squeeze muscle,2
put granola,use yogurt,4
put hair,use butter,2
put hair,rub finger,3
put for second,use glue,2
put side,use glue,2
blow balloon,blow mind,2
use recipe,use straw,2
use paper,use straw,2
use skewer,use straw,2
pull string,use straw,2
use straw,use wand,2
pull string,use wand,2
brush hair,put effort,3
put effort,put hair,3
use cream,use milk,4
add dash,add oil,2
use brush,use sponge,12
add salt,use glue,2
pack snack,wash hair,2
put shoe,use paper,3
put shoe,use stencil,2
use brush,wear makeup,5
add liquid,add oil,5
add glitter,add oil,2
add glitter,add liquid,2
put dot,read book,3
add water,fight bloat,3
add ice,use fruit,5
add flavor,add ice,3
add honey,use agave,5
add drop,add water,6
add water,use spoon,9
add water,use spatula,3
add water,use googan,2
use bottle,use glass,2
pull hair,put hair,24
cut strand,put hair,3
place artwork,use clothing,2
place artwork,wear jean,2
place artwork,put cover,2
add honey,use butter,5
use finger,use paint,4
use color,use finger,4
use color,use paint,11
use cream,use type,6
add velcro,cut rectangle,2
use mascara,use shade,2
use mascara,use wand,4
