source,target,weight
put toy,use dyson,2
drink tea,stick eye in kitchen,2
add spring sing,drink tea,2
catch eye,stick eye in kitchen,2
add spring sing,catch eye,2
add spring sing,stick eye in kitchen,2
clean during weekend,clear counter,2
spray toilet,vacuum floor,2
put fingerprint,spray toilet,2
clean toy,spray toilet,2
clean mirror,put fingerprint,4
clean mirror,clean toy,2
clean toy,put fingerprint,2
use baby,use cloth,4
clean mirror,put hair,3
put hair,use cloth,4
use sponge,use spray,6
rinse with water,use sponge,2
put toy,use blanket,2
sleep in bed,vacuum floor,4
clean sink,put fingerprint,2
put flower,use house,3
put flower,use sponge,2
catch breath,use cloth,2
rinse with water,use cloth,3
add water,use mop,4
put hair,work sweat,2
put hair,vacuum floor,4
clean mirror,pay attention,5
pay attention,use cloth,2
clear counter,put hair,4
clear space,put hair,2
clear counter,clear space,2
clean kitchen,clear space,2
clean floor,use spray,3
clean kitchen,work from home,2
put tee,use type,2
put tee,use cream,2
drink tea,put tee,2
use code,use recipe,3
clean floor,use peppermint,2
pack for boy,put clothe,2
open door,open drawer,2
eat food,use in kitchen,3
use vacuum,vacuum crumb,4
use attachment,vacuum crumb,2
clean sink,put stuff,2
clean fridge,clean kitchen,2
add oil,use berry,2
use berry,use scissor,2
stick orange into muffin tin,use berry,2
add oil,use scissor,4
add oil,stick orange into muffin tin,2
stick orange into muffin tin,use scissor,4
cook on side,use scissor,2
add ingredient,clean area,3
add ingredient,clear counter,2
clean mirror,work on steel,2
clean floor,work on steel,5
fold cling cat,put in playroom,2
mop floor,use steam,3
break throughout week,clear counter,3
dust surface,use bleach,2
use dr,vacuum floor,2
clear counter,use dr,2
clean dish,use dr,5
eat dinner,use kit,2
clean mirror,light candle,2
place order,use sponge,2
clean sink,place order,2
put toy,use clamp,2
break throughout week,work from home,2
use broom,use vacuum,3
use broom,work on basement,2
use vacuum,work on basement,2
vacuum crumb,work on basement,2
brush hair,use iron,2
brush hair,put foot,2
put foot,use towel,3
add to sandwich,eat lunch,3
hold stuff,use product,2
clean kitchen,stick eye in kitchen,2
clear counter,use method,3
put clove,use type,2
put jingle bell,put pine cone,2
put pine cone,use light,2
put card,put pine cone,2
light candle,put jingle bell,2
add potato,use code,2
add green,use guy,2
add chili flake,chop cucumber,3
add potato,chop cucumber,3
chop cucumber,remove from oven,3
chop cucumber,use turkey,3
add potato,use turkey,2
use brand,wash dish,2
put dish,use product,3
break from life,put dish,2
add water,work on steel,4
clean kitchen,open window,2
clean sink,open window,2
eat breakfast,wash dish,8
use glass,wash dish,8
add oil,use spray,3
open drawer,wash dish,2
use peppermint,use spray,3
use peppermint,use towel,2
use cloth,use towel,2
clean kitchen,clean toy,2
add cranberry,put on stove,2
put hanger,wash clothe,2
use paper,wash dish,3
use spray,wash hair,2
clean kitchen,paint opinion,2
put on stove,use scrub,2
remove stain,use cleaner,2
remove stain,use method,2
use method,work from home,4
use cloth,work from home,2
remove stain,work from home,2
remove stain,work way,2
add oil,mop floor,6
mop floor,use chemical,2
put sheet,put toy,2
dust surface,fix bed,4
cut in half,put dish,2
use cloth,use in kitchen,2
put basket,put toy,2
put rug,put toy,2
put basket,vacuum floor,2
put basket,put rug,2
use brush,use cloth,3
add of cabbage,add oil,3
add carrot,add stock,2
put sheet,sleep in bed,3
add potato,rub finger,2
pay attention,write note,5
clean house,hold stuff,2
clean kitchen,put in bathroom,3
add onion,put dish,2
add oil,work way,2
cook with steel,put lid,2
use cleaner,use spray,2
clean toy,use mop,2
use at night,use ton,2
add spinach,use type,3
add water,open window,4
use cloth,vacuum floor,2
eat lunch,use hummus,2
add veggie,use hummus,2
add water,sweep floor,2
clean sink,use cream,2
read book,use on basis,2
break bank,use lacinato,2
break bank,use mop,2
cook with steel,use tofu,2
add onion,use tofu,2
clean house,use method,2
build credit,use type,2
break bank,wash dish,2
use sticker,write list,2
use glass,vacuum floor,2
use rag,vacuum floor,2
use glass,use rag,2
use cleaner,use glass,3
add rosemary,add stock,3
add rosemary,add veggie,2
use agave,use blender,3
add layer,add oil,2
add broccoli,add garlic,2
add broccoli,add layer,2
clean mirror,rinse with water,2
add oil,use steam,3
add topping,chop lettuce,2
clean mirror,collect dust,2
add chicken,clean dice,2
add chicken,burn hand,2
add sauce,use tortilla,3
add oil,build credit,4
use bread,use recipe,2
add depth,shake bag,2
add oil,clear counter,5
add water,put stuff,4
eat dinner,eat meat,2
add cilantro,use rice,4
clean sink,put on stove,2
clean toy,sleep in bed,3
put toy,sleep in bed,3
use moisturizer,use type,2
break bank,build credit,2
put hair,put shoe,3
add chicken,use turkey,3
add to pan,vacuum floor,2
sweep floor,use mop,2
add stock,use butter,2
cook for minute,use blender,2
put item,put stuff,2
put item,use jalapeno,3
add bean,use jalapeno,3
add oil,use jalapeno,6
add oil,use help,2
add cilantro,cook for minute,4
add cilantro,put lid,3
add garlic,add of cabbage,2
add of cabbage,add tomato,2
add of cabbage,add stock,2
add of cabbage,put lid,2
add of cabbage,add pepper,2
use applesauce,use recipe,4
add sugar,use applesauce,2
use applesauce,use butter,2
put hanger,use clothing,2
rub finger,shave leg,2
add salt,shave leg,2
add oil,shave leg,3
use mask,use moisturizer,4
add sugar,use mask,3
add sugar,use scrub,2
use scrub,use spoon,2
add stock,add vegetable,2
cook with steel,use rice,2
add potato,add to sandwich,2
add to sandwich,use turkey,3
add rosemary,add spice,2
add bean,use turkey,3
add chicken,poke hole,2
add veggie,use alternative,2
add carrot,cook for minute,2
put under eye,use color,5
curl eyelash,fill eyebrow,4
add to soup,put cover,2
add to soup,use parsley,6
put cover,use parsley,3
add pepper,use parsley,3
put in bathroom,use cleaner,2
add honey,add pepper,2
add bean,use bleach,2
use planner,use website,2
spray toilet,use glass,2
put food,use mushroom,3
add ginger,use mushroom,2
add cheese,use guy,2
add onion,add spice,2
chop for time,chop lettuce,3
cook on stove,put cover,2
cook pasta,use blender,2
add bit,add onion,2
add sausage,use rice,2
put toy,wash dish,2
put dish,put toy,2
use butter,use walnut,2
add spice,use walnut,3
add cinnamon,add spice,3
add honey,put granola,2
add honey,add yeast,2
build into powerpoint,use guy,2
build into powerpoint,use color,2
sketch saying with pencil,write list,3
use hook,use point,2
light candle,set for hour,5
light candle,use twine,4
melt wax,use twine,2
melt wax,set for hour,2
boil water,melt wax,4
melt wax,use pencil,7
wear jacket,wear turtleneck,2
add spider,pull thread,2
put disclaimer,wash hair,2
spray in hair,wash hair,2
use iron,wash hair,2
set timer,sleep in bed,3
put foot,use blanket,2
cut in half,write note,2
drink coffee,eat calorie,2
break throughout week,write schedule,2
roll dough,use sticker,2
use laptop,use sticker,2
use crop,use sticker,2
put effort,wear outfit,4
wear outfit,wear to school,3
wear to school,wear top,2
cut fabric,sew stitch,3
add water,stick in bed,2
pack snack,use variety,2
pack snack,put in slot,2
pack snack,use laptop,2
drive to school,work from home,3
use color,use hem,2
use on basis,wear makeup,2
use house,use type,2
paint wall,use type,2
cut hole,use finger,2
use in kitchen,work in tick tock,2
add onto baking dish,work in tick tock,2
set challenge,set for success,2
place artwork,read book,2
light candle,wear outfit,3
fill with sand,light candle,2
cut to chase,dye hair,2
dye hair,use point,5
dye hair,pack for trip,2
cut hole,read direction,2
cut hole,put in bathroom,3
cut hole,use towel,3
draw foreigner,dye hair,2
fill eyebrow,use mascara,3
cut flannel,wear sweatshirt,2
cut flannel,put cover,2
add drop,cut flannel,2
cut flannel,use glue,2
fill eyebrow,wear top,2
clean house,roll dough,2
read review,use milk,5
add oil,use paint,6
add touch,use color,2
add blue,add touch,2
add blue,use brush,2
put for second,use brush,2
use brown,use knife,2
sew patch,use crop,2
put pillow,sew patch,2
put pillow,wear sweatshirt,2
put pillow,use crop,2
put watch,wear top,2
pay attention,study note,3
study note,write note,3
use code,use color,2
use code,write note,3
brush tooth,use glass,2
add water,put contact,2
add water,shower at night,2
add water,use bike lock,2
put bit,wear outfit,2
wear outfit,write zero,2
use color,work way,2
add layer,use color,2
add bit,wear jacket,2
wear jacket,wear to school,2
lift torso,write list,2
clean house,put music,3
put on blemish,use finger,2
wear jacket,wear sweatshirt,2
paint coat,wear jean,2
add honey,drink coffee,2
meet in class,meet people,2
hold stuff,use paint,2
pull hair,use pin,5
fill eyebrow,use concealer,3
put food,wear makeup,2
eat food,study note,2
put under eye,use brush,5
add liquid,use yogurt,4
add sage,remove inside,2
add salt,remove inside,2
add honey,add sage,2
add sage,roast squash,2
add honey,roast squash,2
add stock,put clove,2
use serum,use towel,3
use mask,use serum,5
add rosemary,wash hair,5
remove stem,wash hair,2
add ice,add vinegar,2
add vinegar,use mop,2
use house,use mop,3
add water,fill with soil,2
put stuff,use type,2
add hill,put stuff,2
put cover,use straw,2
read book,use horse,2
put hair,use serum,4
add oil,pull hair,2
add oil,put toy,2
cut stem,use mortar,2
cut stem,use finger,2
use vitamin,wash face,5
fix bed,put clothe,3
clean mess,clean mirror,2
add mint,add rosemary,2
shave leg,use cream,3
put bit,use cream,4
fill with soil,mow lawn,2
clear counter,put music,3
cook on side,sweep floor,2
cook on side,light candle,3
light candle,sweep floor,4
clean toy,sweep floor,2
clean toy,use cacao,2
fix bed,vacuum floor,2
put in bathroom,use mop,4
clean sink,use mop,3
put clothe,sweep floor,3
clean sink,sweep floor,11
clean area,sweep floor,3
clean house,sweep floor,4
clean sink,light candle,3
clean kitchen,put in mood,2
add egg,use leftover,2
add egg,use tortilla,2
add oil,use dr,4
pack for trip,put clothe,2
use clay,use mask,5
shave leg,use conditioner,3
drink coffee,use mushroom,3
clean house,fix bed,2
light candle,wash face,3
drink tea,use glass,2
mow lawn,put plant,2
brush hair,use attachment,2
add bit,roll dough,3
open pore,use serum,2
clean sink,put flower,2
fix bed,put sheet,4
use concealer,use primer,2
put under eye,use mascara,2
paint gold,use mascara,3
drive nut,read book,4
add oil,put pine cone,2
add cinnamon,put pine cone,2
put in center,put pine cone,2
put flower,put pine cone,2
add oil,put flower,4
add egg,put ranch,3
add egg,fill with soil,2
clean mirror,put ranch,2
add trim,mow lawn,2
mow lawn,use on property,2
clean area,wear boot,2
use concealer,use cream,4
use bronzer,use concealer,3
use cream,use mascara,2
remove makeup,use mascara,4
use cream,use mask,3
add salt,put foot,6
add honey,put food,2
add oil,build muscle,2
add ingredient,drink tea,4
add oil,set for hour,2
cut stem,drink tea,2
drink tea,rub finger,2
add curl,clean mirror,2
wear heel,wear makeup,2
put food,use mask,2
use calendula,use glass,2
add oil,use calendula,3
add salt,use rose,3
add liquid,add packet,2
put in bathroom,use glass,2
pay attention,use mask,2
brush brow,use mask,3
use dr,use moisturizer,2
put over body,put robe,2
pay attention,put hand,2
put hand,put robe,2
clean kitchen,cook on side,2
light candle,set vibe,3
connect with nature,light candle,2
add oil,read magazine,3
add oil,put animal,2
add touch,use towel,2
brush tooth,drive to school,2
use mortar,use scrub,2
use applesauce,use mortar,2
use applesauce,use scrub,4
add drop,spray toilet,2
drink tea,put in bathroom,4
use air,use glove,2
put in bathroom,use fireplace,2
put wreath,use color,2
add water,put food,3
add stevia,use milk,3
clean floor,collect dust,2
drop son at school,wear makeup,2
add garlic,use mortar,2
add salt,use serving,3
fix bed,light candle,3
remove ink from fingertip,use spatula,4
add drop,drink tea,5
add cheese,add onion,2
use mask,wash body,2
open pore,wash hair,2
clean car,use paint,4
clean car,dust surface,4
dust surface,use paint,4
add mint,add water,2
brush tooth,put bit,2
remove inside,use tofu,2
add water,use turkey,2
use mask,use product,3
use mask,use pad,4
use on occasion,wash face,2
use on occasion,use vitamin,2
use retinol,use vitamin,6
use on occasion,use retinol,2
add oil,put on abdomen,2
put on abdomen,use rice,2
add oil,use vitamin,4
add rosemary,drink coffee,2
add water,put flower,3
use color,use moisturizer,2
use brush,use moisturizer,6
curl eyelash,paint gold,2
light fire,use word,2
drink tea,use for while,2
paint wall,use guy,3
add drop,use vitamin,2
add ingredient,add spice,2
add to pan,put sheet,2
cut into three,roll dough,3
put flower,set vibe,2
spray toilet,use mask,3
drink tea,use mask,3
use moisturizer,use scrub,2
put side,use anchor,2
add tomato,use recipe,2
add spinach,use bread,2
fix bed,sleep in bed,2
dust surface,use mop,2
clean sink,use squeegee,2
clean house,use squeegee,2
add drop,use glass,2
boil water,connect to breast shield,2
connect to breast shield,read manual,2
boil water,read manual,4
clean area,read manual,2
add cheese,use cream,2
add to pan,drink tea,2
add sugar,put side,2
drink tea,put hair,2
put sheet,use mask,2
add witch hazel,drink tea,2
add drop,add witch hazel,2
add oil,put into boiler,5
use blender,use hand,2
add to sandwich,use fruit,2
add ice,add to sandwich,2
pack for trip,use shampoo,2
put hair,put headband,2
drink tea,use agave,5
drink tea,put popsicle stick,3
add honey,put popsicle stick,2
add sugar,put foot,2
add drop,fill with sand,2
add drop,use type,3
put foot,use glove,2
use glove,use type,2
fill with sand,put foot,2
fill with sand,use type,2
use serum,use type,2
add water,use steam,2
add oil,use steamer,3
add water,use steamer,2
clean floor,use mask,2
use type,work on steel,2
use product,work on steel,2
use mask,work on steel,4
open window,work on steel,2
open window,use mask,3
add water,use glove,2
add ice,clean sink,2
use concealer,use tip,2
put bit,use concealer,2
add honey,eat breakfast,2
use cheesecloth,use twine,2
add onion,use cheesecloth,3
add onion,add stock,2
add sage,pump lash,2
add sage,use twine,2
burn incense,pump lash,2
add sage,burn incense,3
burn incense,use twine,2
add vinegar,clean kitchen,2
add water,use exfoliant,2
add ingredient,wash body,2
add egg,use twine,3
use foam,use skewer,2
add ingredient,drink coffee,2
add drop,add ingredient,2
brush tooth,spray toilet,2
brush tooth,put side,2
add water,set for hour,2
use cleaner,wear makeup,2
put hair,use moisturizer,3
add water,use rose,2
add oil,read instruction,2
use bottle,use type,2
put plant,use bottle,2
add beeswax,use butter,2
add barrier,use butter,2
pull thread,set goal,2
add water,melt wax,3
add jasmine,melt wax,2
add jasmine,add water,2
add gelatin,drink tea,2
add gelatin,add packet,7
add gelatin,use agave,3
add packet,use agave,3
add gelatin,add onto baking dish,2
add onto baking dish,add packet,2
use glove,use mask,2
put movie,use mask,2
put movie,use glove,2
put bow,use butter,2
put basket,put bow,2
drink wine,paint gold,2
add honey,use blender,2
add oil,use loofah,2
add oil,use glove,5
put basket,stock on perishable,2
add bean,stick with black,2
add bean,wear turtleneck,2
add bean,wear top,2
use butter,use hand,2
use milk,use point,3
add tomato,use can,3
add water,wash body,2
add liquid,use towel,4
clean kitchen,use towel,2
add velcro,use magnet,3
add velcro,put side,4
add velcro,put trade,3
add onto baking dish,add velcro,2
hold of camping gear,stick in car,2
set face,use milk,2
use mask,use milk,3
set face,use mask,2
use dr,use mask,3
use brush,use mask,8
use mask,use steamer,2
set face,use brush,2
use brush,use steamer,2
set face,use steamer,2
use light,use moisturizer,2
add ingredient,clean sink,2
add oil,use mop,2
add curl,brush hair,6
brush tooth,use type,2
roll dough,wrap earbud,2
eat fish,sprinkle on top,2
eat fish,eat food,2
add water,wear sunscreen,2
clean sink,wear makeup,2
use mask,use scrub,2
clean floor,clear counter,2
add garlic,clean dish,2
open door,put in bathroom,2
drink tea,fill space,2
add eucalyptus,drink tea,2
put dot,use mascara,2
add oil,use clay,2
open pore,use steamer,3
add eucalyptus,add oil,2
drink tea,put phone,2
add ginger,add honey,2
use dr,use razor,2
add broccoli,add onion,2
add curl,use iron,2
add bit,wash face,2
use falsie,use mascara,3
add ingredient,use air,2
add barrier,use air,2
shave leg,use air,2
add eucalyptus,use air,2
add sauce,use alternative,2
put foot,wear heel,3
put foot,use scrub,2
clean mirror,use glove,2
brush hair,use towel,9
fix bed,put pillow,3
pull hair,wash hair,2
use foundation,use moisturizer,2
use product,write song,2
add oil,add witch hazel,2
read magazine,use mask,3
add oil,use cheesecloth,2
add of favorite,wear makeup,2
shave leg,use exfoliant,2
open pore,use chemical,3
use product,use retinol,2
pack snack,use berry,2
add bit,add gelatin,4
use shampoo,use spray,2
cut bottom,remove inside,2
use palette,use pencil,2
paint coat,use sponge,2
read book,use cleaner,2
add oil,wash in morning,2
remove skin,use product,2
add oil,toss in trunk,2
add flavor,sprinkle on top,2
use clay,wear makeup,2
wear jean,wear makeup,2
use fruit,wear jean,2
add egg,add glitter,3
put shoe,use spray,2
use acid,use scrub,2
draw foreigner,use mask,2
use bottle,use mask,2
put foot,use rose,2
pour marble,put hair,2
use sponge,wash face,2
bend in front,use concealer,2
put on cheekbone,use bronzer,3
use brush,use falsie,2
use bronzer,use pencil,2
put shoe,use pencil,2
pump lash,use pencil,2
use gloss,use pencil,2
read book,read magazine,2
put hair,use scrub,2
put in root,use iron,2
add oil,use iron,2
use iron,use spray,2
brush hair,spray with hairspray,2
spray with hairspray,use bottle,2
add sugar,use cleaner,2
add sugar,wash face,2
